barcode,name,brand,package_size,category
0009800800056,ממרח נוטלה טו גו 52 גרם,פררו או.הייצ.גי.אם.בי.,52 גרם,Sauces & Spreads
0010900302814,"ניילון נצמד 30ס""מ*30 מטר",ריינולדס,30 מטרים,Other
0011182700954,שעועית שחורה 439 גרם,האנאובר פודס קורפורשיין,439 גרם,Other
0011210000032,"רוטב טבסקו משפחתי 360מ""ל",ניצן,360 מיליליטר,Sauces & Spreads
0011210000094,"רוטב טבסקו 60 מ""ל",ניצן,60 מיליליטר,Sauces & Spreads
0011210009387,"רוטב טבסקו ירוק 60 מ""ל",ניצן,60 מיליליטר,Sauces & Spreads
0011210698055,"טבסקו סרירצה 566 מ""ל",מקאילהייני,566 מיליליטר,Other
0016000423534,חטיף שיבולת ושוקולד5,גנרל מילס סאן אדריאן,210 גרם,Snacks
0016000548404,חטיף נייטשר וואלי דבש5יח,גנרל מילס סאן אדריאן,210 גרם,Sauces & Spreads
0016000548503,נייטשר וואלי מייפל 5יח,גנרל מילס סאן אדריאן,210 גרם,Other
0016000548909,חט.נייטשר וואלי מעורב5יח,גנרל מילס סאן אדריאן,210 גרם,Other
0016229914578,מי קוקוס טבעי פוקו 1 ל,ויט וורלד קומפני,1 ליטר,Other
0016229917593,"מי קוקוס 330 מ""ל",ויט וורלד קומפני,330 מיליליטר,Other
0016229917630,"מי קוקוס + אננס 330 מ""ל",ויט וורלד קומפני,330 מיליליטר,Fruit
0016229917647,"מי קוקוס + מנגו 330 מ""ל",ויט וורלד קומפני,330 מיליליטר,Fruit
0018000701223,תערובת לעוגת שוקולד425גר,גנרל מילס,425 גרם,Snacks
0018000703494,תערובת לעוגת וניל 390גרם,גנרל מילס,390 גרם,Other
0022200956932,ספיד סטיק גל24/7כחול85ג,קולגייט-פלמוליב,85 גרם,Other
0022200956949,ספיד סטיק גל24/7כתום85ג,קולגייט-פלמוליב,85 גרם,Other
0025675120006,חמצוצים 4 צבעים 100 גרם,פאסין ב.ו,100 גרם,Other
0025675120020,חמצוצים בטעם פטל 100 גרם,ירוג,100 גרם,Other
0025675120037,חמצוצים בטעם תות 100 גרם,ירוג,100 גרם,Fruit
0025675120044,חמצוצים בטעם תפוח 100גרם,פאסין ב.ו,100 גרם,Fruit
0025675120068,חמצוצים בטעם קולה 100גרם,ירוג,100 גרם,Drinks
